zipcode,population
32164,124848
30909,124755
18042,124710
2149,124650
77901,124644
23451,124632
60089,124599
602,124560
30039,124551
97330,124416
63017,124410
87123,124404
38118,124395
33617,124329
30252,124284
26554,124107
48307,124107
11003,124068
40324,124026
33179,123996
33020,123987
95831,123963
60564,123936
49221,123930
92040,123843
19139,123813
85711,123753
94521,123747
44203,123744
20170,123708
98226,123705
7304,123699
80016,123657
49442,123642
94121,123609
95380,123603
95678,123576
2895,123558
54115,123534
70506,123489
94901,123471
8902,123459
30458,123417
37087,123396
94066,123390
1085,123351
85338,123345
1970,123327
14450,123312
93706,123261
92236,123249
48038,123171
99362,123168
11367,123141
75050,123123
44870,123090
30736,123087
48188,123075
47401,123033
19082,122991
98801,122931
91913,122913
85042,122886
60652,122877
18974,122859
90059,122856
19805,122811
72712,122799
10475,122793
90007,122760
60636,122748
99504,122742
65803,122706
45231,122679
97080,122664
94566,122652
1453,122649
96786,122577
7202,122547
48060,122493
77060,122490
93311,122487
754,122484
34741,122484
10801,122481
98223,122445
75044,122433
94134,122394
11040,122346
86001,122328
29073,122325
56560,122298
27513,122265
33461,122244
92009,122241
40216,122238
94010,122211
84081,122196
14701,122190
93726,122115
27909,122097
20120,122085
777,122052
7032,122052
33014,121962
78748,121953
19136,121941
44109,121938
79925,121923
53218,121875
60615,121809
91016,121794
48706,121788
95991,121779
78258,121758
97702,121749
32746,121713
23803,121626
45324,121587
94025,121578
60565,121572
97401,121563
80239,121536
2128,121524
40356,121509
96782,121488
85086,121485
77705,121425
78582,121365
85382,121362
30019,121341
44118,121314
87109,121296
55379,121248
98034,121221
34997,121215
38116,121212
78213,121188
30152,121179
77388,121152
85051,121125
92054,121125
16001,121113
11205,121098
20852,121095
29210,121068
1420,121011
63304,121008
90605,120993
91387,120984
676,120948
90804,120933
31313,120906
95132,120897
89032,120891
18702,120885
94531,120870
96701,120843
78216,120801
92374,120801
46514,120789
769,120744
30606,120675
95757,120666
11704,120666
54220,120660
95628,120588
64118,120573
97305,120528
19460,120462
15108,120459
